NumerKartyCzlonkowskiej,ZajeciaID,DataZapisu,StatusZapisu,Obecny
MCNIWA8191,24,2025-03-21,Aktywny,1
MCMAKO9122,26,2024-10-26,Aktywny,1
MCRODY2077,22,2024-03-05,Aktywny,1
MCADPO6373,32,2024-10-23,Aktywny,1
MCKALI6275,15,2025-01-20,Aktywny,1
MCKALI6275,11,2024-02-21,Aktywny,1
MCKALI6275,32,2024-11-10,Aktywny,1
MCKALI6275,9,2024-08-07,Aktywny,1
MCURSC3858,7,2022-07-11,Anulowany,0
MCNADR3411,22,2024-03-11,Aktywny,1
MCADPO6373,4,2024-02-02,Aktywny,1
MCRODY2077,4,2024-01-19,Aktywny,1
MCAGKU4082,29,2023-08-21,Aktywny,1
MCNERE2937,6,2023-10-30,Aktywny,1
MCKRPE1003,28,2024-06-27,Aktywny,1
MCLIGZ8316,2,2023-02-25,Anulowany,0
MCRODY2077,31,2025-09-27,Aktywny,1
MCNIBR6406,21,2025-10-17,Aktywny,1
MCBLGR4703,5,2022-05-27,Aktywny,1
MCKRGI8963,35,2024-12-22,Aktywny,1
MCNERE2937,35,2024-12-10,Aktywny,0
MCALCH7537,12,2022-01-02,Aktywny,1
MCNIWA8191,34,2022-10-30,Aktywny,1
MCALCH7537,32,2024-10-25,Aktywny,1
MCMAMA7973,18,2025-02-18,Aktywny,1
MCAGKU4082,37,2023-03-03,Aktywny,1
MCAPBU6004,16,2023-02-08,Aktywny,0
MCKRPE1003,1,2024-12-26,Aktywny,0
MCRODY2077,10,2024-02-27,Aktywny,1
MCNIBR6406,13,2022-01-19,Aktywny,1
MCAPBU6004,28,2024-06-30,Aktywny,1
MCLIGZ8316,5,2022-06-02,Aktywny,1
MCALCH7537,17,2024-12-20,Aktywny,1
MCFAOW3520,26,2024-10-17,Aktywny,0
MCJAOR8965,27,2024-10-03,Aktywny,1
MCNADR3411,32,2024-10-29,Aktywny,1
MCMAMA7973,38,2024-03-28,Aktywny,1
MCURST3753,13,2022-02-06,Aktywny,1
MCFRSZ9947,19,2022-06-26,Aktywny,1
MCMAKO9122,34,2022-10-31,Aktywny,1
